Institution,Titre_du_poste,Domaine,Date
Plan International-Haiti,Assistant Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",4 Fév 17
CRS,Emergency Food Security Agronomist,Agriculture – Agroalimentaire,4 Fév 17
PROFAMIL,Directeur Médical,Santé et Professions médicales,3 Fév 17
Croix Rouge Française,Architecte urbaniste,"Architecture, Urbanisme et Aménagement du territoire",3 Fév 17
GHSC-PSM,Health System Strengthening Advisor,Santé et Professions médicales,1 Fév 17
GHSC-PSM,Country Security Manager,Sécurité,1 Fév 17
Plan International-Haiti,Grants & Resources Mobilization Manager,"Management/Gestion, Finance, Comptabilité et Commerce",1 Fév 17
Plan International-Haiti,Conseiller (ère) en Sécurité Economique et Alimentaire des Ménages,Agriculture – Agroalimentaire,1 Fév 17
Concern Worldwide Haiti,Agent de Terrain -  Gestion des déchets/GRD,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-17
Concern Worldwide Haiti,Agent de Terrain - Gouvernance Locale et Cohésion Sociale,Sciences Humaines et Sociales,31-Jan-17
Concern Worldwide Haiti,Agent de Terrain - Protection,Sciences Humaines et Sociales,31-Jan-17
Concern Worldwide Haiti,Manager Administration et Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-17
Concern Worldwide Haiti,Local Governance & Social Cohesion Project Officer,Sciences Humaines et Sociales,31-Jan-17
Concern Worldwide Haiti,Agents de Terrain – Moyens de subsistance,Agriculture – Agroalimentaire,31-Jan-17
Concern Worldwide Haiti,Assistant Administratif Programme,"Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-17
Concern Worldwide Haiti,Agent de Terrain CFW/Mitigation,Agriculture – Agroalimentaire,31-Jan-17
Concern Worldwide Haiti,Officier de Projet Senior - Moyens de subsistance,Agriculture – Agroalimentaire,31-Jan-17
Concern Worldwide Haiti,Agent de Terrain Communautaire,Agriculture – Agroalimentaire,31-Jan-17
Concern Worldwide Haiti,Technicien Agricole pour la Mitigation,Agriculture – Agroalimentaire,31-Jan-17
Concern Worldwide Haiti,Livelihoods Senior Project Officer,Sciences Humaines et Sociales,31-Jan-17
Concern Worldwide Haiti,Waste Management and DRR Project Officer,"Architecture, Urbanisme et Aménagement du territoire",31-Jan-17
Mercy Corps Haiti,"Program Manager, Ann Viv Ansamn","Management/Gestion, Finance, Comptabilité et Commerce",31-Jan-17
Caritas Suisse,Conseiller Pédagogique,Sciences de l’Education,31-Jan-17
Caritas Suisse,Chargé de Projet,Sciences Humaines et Sociales,31-Jan-17
MSH,Consultant(e) en communication,Communication et Journalisme,31-Jan-17
MSH,Conseiller Technique au CCM,Santé et Professions médicales,31-Jan-17
Mercy Corps Haiti,Monitoring and Evaluation Officer,Sciences économiques et politiques,31-Jan-17
CDS,Infirmiere de Ligne (Jeremie),Santé et Professions médicales,31-Jan-17
Jhpiego,Consultant en Planification familiale,Santé et Professions médicales,30-Jan-17
ABT/Shops Plus Project USAID,Spécialiste en Suivi et Evaluation,Sciences économiques et politiques,30-Jan-17
VMA,Senior Program Associate,Sciences Humaines et Sociales,30-Jan-17
Secteur prive,Responsable Services Généraux,"Management/Gestion, Finance, Comptabilité et Commerce",30-Jan-17
Save the Children en Haiti,MEAL Officer,Sciences Humaines et Sociales,28-Jan-17
USAID/LOKAL+,Consultant (e) pour la Formation et le coaching sur l’utilisation du SIG,Sciences Informatiques,27-Jan-17
GRET Haiti,Ingénieur en génie Civil-VRD,Sciences de l’Ingénieur,27-Jan-17
CRS,Emergency Food Security Project Manager,"Management/Gestion, Finance, Comptabilité et Commerce",27-Jan-17
OHMaSS (PSI-Haïti),Field Coordinator,Sciences Humaines et Sociales,27-Jan-17
USAID|Haiti/AVANSE,Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",27-Jan-17
OHMaSS (PSI-Haïti),Officier de services de santé communautaire,Santé et Professions médicales,26-Jan-17
OHMaSS (PSI-Haïti),Assistante de Services de Santé Communautaire,Santé et Professions médicales,26-Jan-17
GHSC-PSM,Service Delivery Officer,Santé et Professions médicales,24-Jan-17
CRS,MEAL OFFICER,Sciences économiques et politiques,24-Jan-17
CRS,Community Liaison Officer (Jérémie),Sciences Humaines et Sociales,24-Jan-17
GHSC-PSM,Data Specialist/Lab,Santé et Professions médicales,23-Jan-17
Ambassade de Suisse,Chauffeur / Terrain,Transport et Logistique,23-Jan-17
OHMaSS (PSI-Haïti),Chauffeur Animateur,Transport et Logistique,23-Jan-17
Save the Children en Haiti,Consultant en Evaluation de Projet,Sciences Humaines et Sociales,22-Jan-17
Secteur projet,Assistante Administrative/Direction Administrative,Secrétariat,20-Jan-17
Secteur projet,Assistante Administrative/Direction Technique,Secrétariat,20-Jan-17
Secteur projet,Assistante Administrative/Direction Financière,Secrétariat,20-Jan-17
CCIH,Formation Programme De´veloppement des Fournisseurs (PDF),"Management/Gestion, Finance, Comptabilité et Commerce",20-Jan-17
Jhpiego,Officier  FBR,Santé et Professions médicales,20-Jan-17
Jhpiego,Senior HR Officer,"Management/Gestion, Finance, Comptabilité et Commerce",20-Jan-17
University of Florida,Post-harvest technology and Food Safety Specialist (PHTFS),Agriculture – Agroalimentaire,20-Jan-17
PNLT,Infirmière Coordonnatrice  Santé Communautaire,Santé et Professions médicales,19-Jan-17
Secteur prive,Human Resources Manager,"Management/Gestion, Finance, Comptabilité et Commerce",18-Jan-17
Secteur prive,Administration Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",18-Jan-17
HFH,"Dir, Finance & Administration","Management/Gestion, Finance, Comptabilité et Commerce",16-Jan-17
Diakonie Katastrophenhilfe,Expert technique de Réduction de Risques et de Désastres,"Management/Gestion, Finance, Comptabilité et Commerce",16-Jan-17
MSF - Hollande,Superviseur Obstétricien Gynécologue CRUO,Santé et Professions médicales,16-Jan-17
FHI/Humanité & Inclusion_ HI,Physiothérapeute,Santé et Professions médicales,16-Jan-17
Brasserie de la Couronne S.A.,Agent Commercial (Cap-Haïtien),Marketing,15-Jan-17
Brasserie de la Couronne S.A.,Maintenance Coordinator,Sciences de l’Ingénieur,15-Jan-17
Brasserie de la Couronne S.A.,Agent Commercial (Gonaives),Marketing,15-Jan-17
MDM Canada,Administrateur Projets Nord-Ouest,"Management/Gestion, Finance, Comptabilité et Commerce",14-Jan-17
Secteur ong,Expert en Gestion des Subventions,"Management/Gestion, Finance, Comptabilité et Commerce",13-Jan-17
FONKOZE,Responsab Resous Moun,"Management/Gestion, Finance, Comptabilité et Commerce",13-Jan-17
Secteur international,Consultant technique national en constitution et animation de réseau,Agriculture – Agroalimentaire,13-Jan-17
Beyond Borders,"Gestionnaire en Planification, Suivi, Évaluation et Apprentissage",Sciences Humaines et Sociales,13-Jan-17
HELP,Citizenship & Leadership Instructor (CLI),Sciences de l’Education,12-Jan-17
FHI/Humanité & Inclusion_ HI,Responsable Volet  Appui au suivi de l’implémentation de service de réadaptation dans les hôpitaux,Santé et Professions médicales,11-Jan-17
FHI/Humanité & Inclusion_ HI,Responsable de volet post-formation et appui aux associations de professionnels de la réadaptation,Sciences de l’Education,11-Jan-17
MARNDR/HYDROMET,Cadre Intermediaire attaché à la Coordination du Projet Hydromet,Sciences de l’Ingénieur,11-Jan-17
Initiative Développement,Responsable Terrain programme Santé,Santé et Professions médicales,10-Jan-17
Action Contre la Faim - Haïti,Responsable de Projet,Santé et Professions médicales,09-Jan-17
HELP,English Language Fellowship Instructor,Sciences de l’Education,09-Jan-17
MSH,Call for Public Health Experts - Haiti,Santé et Professions médicales,07-Jan-17
MSH,Call for Health Systems Management Experts - Haiti,Santé et Professions médicales,07-Jan-17
University of Florida,Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",06-Jan-17
MSF - Hollande,Superviseur Laboratoire CRUO,Santé et Professions médicales,03-Jan-17
CRS,Project Manager Shelter DRR Grand Anse,"Management/Gestion, Finance, Comptabilité et Commerce",03-Jan-17
CRS,KABOS Project  MEAL OFFICER,Sciences économiques et politiques,02-Jan-17
Medical Teams International,Safety and Security officer,Sécurité,01-Jan-17
MSF B,Chirurgien Orthopédique,Santé et Professions médicales,31-Dec-16
WeltHungerHilfe (Agro Action Allemande),Coordonnateur de projet,Agriculture – Agroalimentaire,30-Dec-16
Secteur prive,Responsable Vie Associative et Formation,Sciences Humaines et Sociales,30-Dec-16
FONKOZE,Ofisye “Value Chain”,"Management/Gestion, Finance, Comptabilité et Commerce",29-Dec-16
FONKOZE,Ofisye biznis,"Management/Gestion, Finance, Comptabilité et Commerce",29-Dec-16
Fides Management,General Manager,"Tourisme, Hôtellerie et Restauration",29-Dec-16
CRS,Community Mobilizer (Coteaux),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Liaison Officer (Coteaux),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Mobilizer (Roche-à-Bateaux),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Mobilizer (Chantal),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Mobilizer (Jérémie),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Liaison Officer (Chantal),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Liaison Officer (Jérémie),Sciences Humaines et Sociales,28-Dec-16
CRS,Community Liaison Officer (Roche-à-Bateaux),Sciences Humaines et Sociales,28-Dec-16
Action Contre la Faim - Haïti,Responsable de département SAME,Agriculture – Agroalimentaire,28-Dec-16
IFES,Consultant en Media Social,"Management/Gestion, Finance, Comptabilité et Commerce",27-Dec-16
Plan International-Haiti,Facilitateur de Développement Communautaire,Sciences Humaines et Sociales,27-Dec-16
GHSC-PSM,Technical Procurement Officer,"Management/Gestion, Finance, Comptabilité et Commerce",26-Dec-16
Plan International-Haiti,Facilitateur Livelihood,Sciences Humaines et Sociales,25-Dec-16
Plan International-Haiti,Facilitateur Wash,Sciences Humaines et Sociales,25-Dec-16
UGP/MSPP/PEPFAR,Dispatcher pour le Laboratoire National de Sante Publique,Transport et Logistique,23-Dec-16
Ayiti Nexus,Senior Project Manager,"Management/Gestion, Finance, Comptabilité et Commerce",23-Dec-16
Plan International-Haiti,Communications Manager,Communication et Journalisme,23-Dec-16
MSH,Monitoring & Evaluation Senior Advisor,Santé et Professions médicales,23-Dec-16
MSH,Assistant Technique National,Santé et Professions médicales,23-Dec-16
MSH,Consultant pour le Développement du Plan d'Action,"Management/Gestion, Finance, Comptabilité et Commerce",23-Dec-16
Plan International-Haiti,Manager Droits et Participation des Enfants et des Jeunes,Sciences Humaines et Sociales,22-Dec-16
UNICEF Haiti,"Nutrition Officer, (NO-2), Jeremie",Santé et Professions médicales,22-Dec-16
Project Medishare for Haiti,Disaster Relief Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-16
Sogebank,Officier de Crédit Corporate,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-16
The QED Group LLC,CALL FOR TEAM EVALUATION CONSULTANTS - HAITI,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-16
CRS,Agent de Promotion– Chaine de valeur du Cacao (Abricots),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao,Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Promotion– Chaine de valeur du Cacao (Moron),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Promotion– Chaine de valeur du Cacao (Jérémie),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Promotion– Chaine de valeur du Cacao (Roseaux),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao (Beaumont),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao (Corail),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao (Pestel),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao (Torberck),Agriculture – Agroalimentaire,21-Dec-16
CRS,Agent de Terrain– Chaine de valeur du cacao (Camp-Perrin),Agriculture – Agroalimentaire,21-Dec-16
CEMEX HAITI,Superviseur de Securité Industrielle,"Management/Gestion, Finance, Comptabilité et Commerce",21-Dec-16
PNLT,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-16
PNLT,Comptable (PNLT/LF/VIH/ZIKA),"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-16
PNLS,Consultant pour la Systématisation d'entreprise avec le logiciel,Sciences Informatiques,19-Dec-16
CRS,Ingenieur Technique,Sciences de l’Ingénieur,19-Dec-16
CRS,Ingénieur Technique (Jérémie),Sciences de l’Ingénieur,19-Dec-16
CRS,Build Back Better Training Coordinator,Sciences de l’Ingénieur,19-Dec-16
Caribbean Grain Company S.A.,Chef de Sécurité,Sécurité,19-Dec-16
Save the Children en Haiti,Officier  de projet Education,Sciences de l’Education,18-Dec-16
Save the Children en Haiti,Assistant de projet d’Education,Sciences de l’Education,18-Dec-16
Save the Children en Haiti,Officier en Nutrition,Santé et Professions médicales,18-Dec-16
Save the Children en Haiti,Officier en Nutrition (Beaumont),Santé et Professions médicales,18-Dec-16
CARE Haiti,Manager Transferts Sociaux d'Urgence,Agriculture – Agroalimentaire,18-Dec-16
Save the Children en Haiti,Officier en Nutrition (Pestel),Santé et Professions médicales,18-Dec-16
Save the Children en Haiti,Officier Support Administration et RH,"Management/Gestion, Finance, Comptabilité et Commerce",18-Dec-16
Save the Children en Haiti,Coordonnateur de projet Education,Sciences de l’Education,18-Dec-16
Ambassade de Suisse,"Adjoint Chef Finances, Personnel et Administration","Management/Gestion, Finance, Comptabilité et Commerce",18-Dec-16
Uniterra,Spécialiste Sectoriel en Système de Marché,Agriculture – Agroalimentaire,17-Dec-16
Plan International-Haiti,Communications Officer,Communication et Journalisme,16-Dec-16
Croix Rouge Canadienne,Coordonnateur de terrain,Sciences Humaines et Sociales,16-Dec-16
OHMaSS (PSI-Haïti),Assistante Administrative,Secrétariat,16-Dec-16
MARNDR/RESEPAG,Responsable Technique Départemental pour le Nord et le Nord-est,Agriculture – Agroalimentaire,16-Dec-16
CARE Haiti,IT Officer,Sciences Informatiques,15-Dec-16
CARE Haiti,Coordonnateur de Terrain (Cap-Haïtien),Sciences de l’Education,15-Dec-16
CARE Haiti,Agent Communautaire & Pédagogique (Cap-Haïtien),Sciences Humaines et Sociales,15-Dec-16
CARE Haiti,M&E Officer (Cap-Haïtien),Sciences Humaines et Sociales,15-Dec-16
CARE Haiti,Coordonnateur de Terrain (Thiotte),Sciences de l’Education,15-Dec-16
CARE Haiti,Agent Communautaire & Pédagogique (Thiotte),Sciences Humaines et Sociales,15-Dec-16
CARE Haiti,M&E Officer (Thiotte),Sciences Humaines et Sociales,15-Dec-16
CARE Haiti,IT Aanalyste Programmeur,Sciences Informatiques,15-Dec-16
USAID|Haiti/AVANSE,Technicien d’AutoCAD / Designer,Sciences Informatiques,15-Dec-16
USAID|Haiti/AVANSE,Ingénieur Junior/ Topographe,Sciences de l’Ingénieur,15-Dec-16
FINCA Haiti S.A.,Corporate Audit Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15-Dec-16
Medair,Field Communications Officer,Communication et Journalisme,15-Dec-16
HFH,Director of Programs,Sciences Humaines et Sociales,15-Dec-16
Action Contre la Faim - Haïti,Responsable Programme FSTP,Agriculture – Agroalimentaire,13-Dec-16
Sevis finansye Fonkoze,Chief Financial Officer,"Management/Gestion, Finance, Comptabilité et Commerce",13-Dec-16
CARE Haiti,Officier de Finance et Conformité,"Management/Gestion, Finance, Comptabilité et Commerce",12-Dec-16
UNICEF Haiti,Assistant(e) aux approvisionnements et à la logistique - GS6 - Port-au-Prince,Transport et Logistique,12-Dec-16
Jhpiego,Procurement Consultant,"Management/Gestion, Finance, Comptabilité et Commerce",12-Dec-16
CRH,Consultance - Développer Stratégie et Plan Opérationnel Annuel  Mobilisation Ressources de la SNCRH,"Management/Gestion, Finance, Comptabilité et Commerce",11-Dec-16
J/P HRO,Communications Manager,Communication et Journalisme,10-Dec-16
Jhpiego,M&E Director,Sciences économiques et politiques,10-Dec-16
Plan International-Haiti,Ingenieur,Sciences de l’Ingénieur,09-Dec-16
Jhpiego,Chauffeur (Port-au-Prince),Transport et Logistique,09-Dec-16
Caritas Suisse,Office Manager (f/m),"Management/Gestion, Finance, Comptabilité et Commerce",09-Dec-16
Food for the Hungry,End Term Evaluation,"Management/Gestion, Finance, Comptabilité et Commerce",09-Dec-16
Abt Associates,Deputy Chief of Party - Haiti,"Management/Gestion, Finance, Comptabilité et Commerce",09-Dec-16
EPER,Ingénieur Civil,Sciences de l’Ingénieur,08-Dec-16
CRS,Comptable de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-16
HELP,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-16
Secteur international,Chargé(e) national(e) des Achats,"Management/Gestion, Finance, Comptabilité et Commerce",07-Dec-16
AIR,Technical Manager,"Management/Gestion, Finance, Comptabilité et Commerce",07-Dec-16
AIR,Instructional Materials Design Specialist,"Management/Gestion, Finance, Comptabilité et Commerce",07-Dec-16
Build Change,Monitoring and Evaluation Senior Officer,Sciences de l’Ingénieur,06-Dec-16
CRS,Chargé de projet en Santé,Santé et Professions médicales,06-Dec-16
CRS,Point Focal Agro Pastoral,Agriculture – Agroalimentaire,06-Dec-16
Finn Church Aid,Coordonnateur de la Réponse Humanitaire en Education,Sciences Humaines et Sociales,05-Dec-16
CRS,Fleet Officer,Mécanique,05-Dec-16
C2C,Technicien de Laboratoire,Santé et Professions médicales,05-Dec-16
C2C,Médecin Généraliste,Santé et Professions médicales,05-Dec-16
FINCA Haiti S.A.,Coordonnateur de Credit Agricole,Agriculture – Agroalimentaire,05-Dec-16
UGP/MSPP/PEPFAR,Technical Director/Non-clincical services,Santé et Professions médicales,02-Dec-16
Croix Rouge Espagnole,Contremaître Construction des bureaux des Comités  Locaux de CRH  (Marigot et Thiotte),Métiers du bâtiment et autres,02-Dec-16
Croix Rouge Espagnole,Ingénieur résident,Sciences de l’Ingénieur,02-Dec-16
CARE Haiti,Support Service Manager / Jeremie,"Management/Gestion, Finance, Comptabilité et Commerce",01-Dec-16
CRS,Finance Officer (Jeremie),"Management/Gestion, Finance, Comptabilité et Commerce",01-Dec-16
MARNDR/RESEPAG,consultant international d’appui d'UPS du travail de restructuration des services d’inspection (...),Agriculture – Agroalimentaire,01-Dec-16
International Medical Corps,Infirmières /USN/PTA,Santé et Professions médicales,30-Nov-16
International Medical Corps,Infirmières-Auxilliaires,Santé et Professions médicales,30-Nov-16
International Medical Corps,Mobilisateur de santé communautaire,Sciences Humaines et Sociales,30-Nov-16
Plan International-Haiti,Responsable Suivi – Évaluation Projet SMNI,Santé et Professions médicales,30-Nov-16
UMCOR,Procurement Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-16
DID PANSEH,Un (e) Agent (e) en Communication,Communication et Journalisme,30-Nov-16
DID PANSEH,Agent-e technique en services financiers aux MPME,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-16
International Medical Corps,Médecin,Santé et Professions médicales,30-Nov-16
Plan International-Haiti,Assistant Administratif & Finance,Secrétariat,30-Nov-16
Jhpiego,Coordinateur des sites VIH/TB,Santé et Professions médicales,30-Nov-16
FLM,Conseiller au Programme FLM,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-16
CRS,Logisticien,Transport et Logistique,30-Nov-16
CRS,Agent Financier et Administratif,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-16
Jhpiego,Officier Communautaire VIH/TB,Santé et Professions médicales,30-Nov-16
Jhpiego,Analyste des données de VIH/TB,Santé et Professions médicales,30-Nov-16
Jhpiego,Officier de Qualité de Données VIH,Santé et Professions médicales,30-Nov-16
ACTED,Chargé de Sécurité,Sécurité,30-Nov-16
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Adjoint au Directeur de Crédit,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-16
Croix Rouge Canadienne,Officier d’Administration,"Management/Gestion, Finance, Comptabilité et Commerce",29-Nov-16
USAID|Haiti/AVANSE,Chauffeur/mécanicien motos et voitures,Transport et Logistique,29-Nov-16
Caritas Suisse,Consultant-e en sécurité alimentaire,Agriculture – Agroalimentaire,29-Nov-16
UMCOR,Finance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",28-Nov-16
AVSF,Comptable de la Coordination,"Management/Gestion, Finance, Comptabilité et Commerce",28-Nov-16
ISTEAH,Administrateur-trice de site,"Management/Gestion, Finance, Comptabilité et Commerce",28-Nov-16
CRS,Program Coordinator– Cacao Value Chain,"Management/Gestion, Finance, Comptabilité et Commerce",28-Nov-16
Oxfam Intermon,Log Supply Officer,Transport et Logistique,28-Nov-16
Oxfam Intermon,Responsable de Gouvernance Genre et Citoyenneté Active,Sciences Humaines et Sociales,28-Nov-16
Save the Children en Haiti,Coordonnateur Nutrition,Santé et Professions médicales,27-Nov-16
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce",27-Nov-16
Plan International-Haiti,IT Manager (Plan-ITM-17),Sciences Informatiques,26-Nov-16
Plan International-Haiti,M&E Officer,Sciences économiques et politiques,25-Nov-16
ZL/PIH,Technical Coordinator,Santé et Professions médicales,25-Nov-16
Caritas Suisse,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-16
OHMaSS (PSI-Haïti),Analyste Financier,"Management/Gestion, Finance, Comptabilité et Commerce",23-Nov-16
GHSC-PSM,Program Specialist,Santé et Professions médicales,22-Nov-16
GHSC-PSM,Quality Assurance Officer,Santé et Professions médicales,22-Nov-16
Sevis finansye Fonkoze,Responsable Paie,"Management/Gestion, Finance, Comptabilité et Commerce",22-Nov-16
UMCOR,M&E Officer,Sciences économiques et politiques,21-Nov-16
Secteur ong,Infirmière Santé Publique,Santé et Professions médicales,21-Nov-16
Secteur ong,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",21-Nov-16
Secteur ong,Assistant Comptable Logistique & Secrétariat,Secrétariat,21-Nov-16
Secteur ong,Conseillère EFH,Sciences Humaines et Sociales,21-Nov-16
Secteur ong,Chauffeur / Logisticien,Transport et Logistique,21-Nov-16
Croix Rouge Americaine,Administrative Officer,"Management/Gestion, Finance, Comptabilité et Commerce",21-Nov-16
Mercy Corps Haiti,Consultant International ou national pour l’évaluation finale du programme LAMIKA Pilier II,Sciences économiques et politiques,21-Nov-16
Save the Children en Haiti,Officier Alimentation du Nourrisson et du Jeune Enfant (ANJE),Santé et Professions médicales,20-Nov-16
Jhpiego,MCSP MRN Coordinator,Santé et Professions médicales,20-Nov-16
Jhpiego,Gestionnaire de Connaissance et de Communication,Communication et Journalisme,20-Nov-16
Secteur prive,Responsable de Restauration / F&B Manager,"Tourisme, Hôtellerie et Restauration",19-Nov-16
Caritas Suisse,Emergency Programme-Manager,Environnement et Sciences de la Terre,19-Nov-16
Secteur projet,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",18-Nov-16
Secteur projet,Internal Audit Manager,"Management/Gestion, Finance, Comptabilité et Commerce",18-Nov-16
Secteur international,Consultant national expert en programmes de transferts monétaires et vouchers,"Management/Gestion, Finance, Comptabilité et Commerce",18-Nov-16
Brasserie de la Couronne S.A.,Quality Control Coordinator,Biologie/Chimie,18-Nov-16
International Medical Corps,Deputy National Nutrition Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",17-Nov-16
ACTED,Assistant Chef de Projet Infrastructure,Métiers du bâtiment et autres,17-Nov-16
CDS,Facilitatrice Communautaire,Santé et Professions médicales,17-Nov-16
CDS,Infirmiere Superviseuse de Santé Communautaire,Santé et Professions médicales,17-Nov-16
CDS,Sociologue,Sciences Humaines et Sociales,17-Nov-16
CDS,Coordonnateur/trice des activités de Santé Communautaire,Santé et Professions médicales,17-Nov-16
CDS,Site Manager,Santé et Professions médicales,17-Nov-16
Concern Worldwide Haiti,Officier en Ingénierie Civile (Infrastructures légères),Sciences de l’Ingénieur,16-Nov-16
Plan International-Haiti,Officier en Communication,Communication et Journalisme,16-Nov-16
Graphtek,Caissière,"Management/Gestion, Finance, Comptabilité et Commerce",16-Nov-16
Mercy Corps Haiti,Officier responsable du renforcement de capacités des OCB en gestion financière,Agriculture – Agroalimentaire,16-Nov-16
Graphtek,Opérateur de production et d'impression,Marketing,16-Nov-16
World Concern,Superviseur de commune,Sciences Humaines et Sociales,16-Nov-16
World Concern,Officier de logistique,"Management/Gestion, Finance, Comptabilité et Commerce",16-Nov-16
World Concern,Superviseur logistique,"Management/Gestion, Finance, Comptabilité et Commerce",16-Nov-16
Mercy Corps Haiti,Emergency Cash Manager,"Management/Gestion, Finance, Comptabilité et Commerce",16-Nov-16
OHMaSS (PSI-Haïti),Délégué Médical Sénior,Santé et Professions médicales,16-Nov-16
Croix Rouge Americaine,Chef de Secteurs de distribution  (Nippes),Sciences Humaines et Sociales,15-Nov-16
Croix Rouge Americaine,Finance and Administration Assistant (Cayes),"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-16
World Concern,Gestionnaire des Projet SERIS,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-16
Save the Children en Haiti,Officier des Archives,Secrétariat,15-Nov-16
MARNDR/PECHE,Statisticien,Sciences économiques et politiques,15-Nov-16
Douleurs Sans Frontières,Statisticien - data management,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-16
Norwegian Church Aid,Ingénieur WASH d'Urgence (Cayes),Sciences de l’Ingénieur,14-Nov-16
Croix Rouge Americaine,Chauffeur (Cayes),Transport et Logistique,14-Nov-16
Croix Rouge Americaine,Officiers de Logistique et des Commodités (Cayes),Transport et Logistique,14-Nov-16
Croix Rouge Americaine,Logistics Assistant,Sciences Humaines et Sociales,14-Nov-16
Norwegian Church Aid,Ingénieur WASH d'Urgence (Jérémie),Sciences de l’Ingénieur,14-Nov-16
Croix Rouge Americaine,Officiers de Logistique et des Commodités (Nippes),"Management/Gestion, Finance, Comptabilité et Commerce",14-Nov-16
GHSC-PSM,Laboratory Quantification and Forecasting Officer,Santé et Professions médicales,14-Nov-16
IFRC,Officier Logistique,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-16
Plan International-Haiti,Superviseur Pedagogique,Sciences de l’Education,13-Nov-16
IFRC,Officier des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-16
IFRC,Administration Officer,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-16
IFRC,Communication Officer,Communication et Journalisme,13-Nov-16
Plan International-Haiti,Education Project Coordinator,Sciences de l’Education,13-Nov-16
Secteur international,Assistant en Communication et Genre,Communication et Journalisme,13-Nov-16
IFRC,Officier Logistique,"Management/Gestion, Finance, Comptabilité et Commerce",13-Nov-16
Secteur international,Technicien de terrain en agronomie,Agriculture – Agroalimentaire,13-Nov-16
Secteur international,Animateur/Animatrice,Agriculture – Agroalimentaire,13-Nov-16
Plan International-Haiti,Child Protection in Emergency Coordinator,Sciences Humaines et Sociales,12-Nov-16
Plan International-Haiti,Coordonnateur des « Maisons du Bonheur »,Sciences Humaines et Sociales,11-Nov-16
Plan International-Haiti,WASH Coordinator,Sciences Humaines et Sociales,11-Nov-16
Plan International-Haiti,Livelihood Coordinator,Sciences économiques et politiques,11-Nov-16
Plan International-Haiti,Facilitateur des « Maisons du Bonheur »,Sciences Humaines et Sociales,11-Nov-16
Norwegian Church Aid,Officier d’approvisionnement et de logistique,Transport et Logistique,11-Nov-16
Oxfam Intermon,Coordonnateur WASH,Sciences de l’Ingénieur,11-Nov-16
CBM,Hurricane Matthew Emergency Response Program Manager,"Management/Gestion, Finance, Comptabilité et Commerce",11-Nov-16
